idx,name,mean,std,mean_minus_std,mean_plus_std,cv,rank_mean
19,ARRESTS_D,0.03651434928178787,0.0,0.03651434928178787,0.03651434928178787,0.0,1
67,DIVISION,0.029552387073636055,0.0,0.029552387073636055,0.029552387073636055,0.0,2
20,DSMCRIT,0.027375245466828346,0.0,0.027375245466828346,0.027375245466828346,0.0,3
68,REGION,0.02638823911547661,0.0,0.02638823911547661,0.02638823911547661,0.0,4
39,FREQ1_D,0.02633455954492092,0.0,0.02633455954492092,0.02633455954492092,0.0,5
18,LIVARAG_D,0.025914521887898445,0.0,0.025914521887898445,0.025914521887898445,0.0,6
6,NOPRIOR,0.025486916303634644,0.0,0.025486916303634644,0.025486916303634644,0.0,7
32,SUB3_D,0.02530866488814354,0.0,0.02530866488814354,0.02530866488814354,0.0,8
52,HERFLG,0.02376573719084263,0.0,0.02376573719084263,0.02376573719084263,0.0,9
31,SUB2_D,0.023676805198192596,0.0,0.023676805198192596,0.023676805198192596,0.0,10
41,FREQ3_D,0.02367469295859337,0.0,0.02367469295859337,0.02367469295859337,0.0,11
71,CBSA2020,0.020833158865571022,0.0,0.020833158865571022,0.020833158865571022,0.0,12
54,OPSYNFLG,0.02006685733795166,0.0,0.02006685733795166,0.02006685733795166,0.0,13
12,GENDER,0.01962415501475334,0.0,0.01962415501475334,0.01962415501475334,0.0,14
63,SEDHPFLG,0.01849091239273548,0.0,0.01849091239273548,0.01849091239273548,0.0,15
61,TRNQFLG,0.018442276865243912,0.0,0.018442276865243912,0.018442276865243912,0.0,16
42,FRSTUSE1,0.01765049621462822,0.0,0.01765049621462822,0.01765049621462822,0.0,17
17,EMPLOY_D,0.017467305064201355,0.0,0.017467305064201355,0.017467305064201355,0.0,18
25,DETNLF_D,0.01693989336490631,0.0,0.01693989336490631,0.01693989336490631,0.0,19
2,MARSTAT,0.01692531630396843,0.0,0.01692531630396843,0.01692531630396843,0.0,20
55,PCPFLG,0.016759486868977547,0.0,0.016759486868977547,0.016759486868977547,0.0,21
57,MTHAMFLG,0.016694407910108566,0.0,0.016694407910108566,0.016694407910108566,0.0,22
4,DETCRIM,0.01654844917356968,0.0,0.01654844917356968,0.01654844917356968,0.0,23
56,HALLFLG,0.01635308563709259,0.0,0.01635308563709259,0.01635308563709259,0.0,24
34,ROUTE2,0.015725454315543175,0.0,0.015725454315543175,0.015725454315543175,0.0,25
64,INHFLG,0.015650376677513123,0.0,0.015650376677513123,0.015650376677513123,0.0,26
23,ETHNIC,0.015479899011552334,0.0,0.015479899011552334,0.015479899011552334,0.0,27
65,OTCFLG,0.015380257740616798,0.0,0.015380257740616798,0.015380257740616798,0.0,28
70,ALCDRUG,0.015359698794782162,0.0,0.015359698794782162,0.015359698794782162,0.0,29
60,BENZFLG,0.015086927451193333,0.0,0.015086927451193333,0.015086927451193333,0.0,30
35,ROUTE3,0.014924436807632446,0.0,0.014924436807632446,0.014924436807632446,0.0,31
16,SERVICES_D,0.014781572856009007,0.0,0.014781572856009007,0.014781572856009007,0.0,32
49,ALCFLG,0.014045048505067825,0.0,0.014045048505067825,0.014045048505067825,0.0,33
3,SERVICES,0.013988672755658627,0.0,0.013988672755658627,0.013988672755658627,0.0,34
59,STIMFLG,0.013936612755060196,0.0,0.013936612755060196,0.013936612755060196,0.0,35
40,FREQ2_D,0.01348875556141138,0.0,0.01348875556141138,0.01348875556141138,0.0,36
69,IDU,0.013460330665111542,0.0,0.013460330665111542,0.013460330665111542,0.0,37
9,METHUSE,0.013412636704742908,0.0,0.013412636704742908,0.013412636704742908,0.0,38
48,FREQ_ATND_SELF_HELP_D,0.013286486268043518,0.0,0.013286486268043518,0.013286486268043518,0.0,39
5,PSOURCE,0.012262428179383278,0.0,0.012262428179383278,0.012262428179383278,0.0,40
22,RACE,0.012059375643730164,0.0,0.012059375643730164,0.012059375643730164,0.0,41
66,OTHERFLG,0.011516534723341465,0.0,0.011516534723341465,0.011516534723341465,0.0,42
11,PREG,0.01135295256972313,0.0,0.01135295256972313,0.01135295256972313,0.0,43
62,BARBFLG,0.011175613850355148,0.0,0.011175613850355148,0.011175613850355148,0.0,44
13,VET,0.011139714159071445,0.0,0.011139714159071445,0.011139714159071445,0.0,45
58,AMPHFLG,0.010158569552004337,0.0,0.010158569552004337,0.010158569552004337,0.0,46
10,PSYPROB,0.010129845701158047,0.0,0.010129845701158047,0.010129845701158047,0.0,47
44,FRSTUSE3,0.010046826675534248,0.0,0.010046826675534248,0.010046826675534248,0.0,48
1,EDUC,0.009918016381561756,0.0,0.009918016381561756,0.009918016381561756,0.0,49
43,FRSTUSE2,0.009835151955485344,0.0,0.009835151955485344,0.009835151955485344,0.0,50
51,MARFLG,0.009669872000813484,0.0,0.009669872000813484,0.009669872000813484,0.0,51
0,STFIPS,0.009343782439827919,0.0,0.009343782439827919,0.009343782439827919,0.0,52
53,METHFLG,0.009258548729121685,0.0,0.009258548729121685,0.009258548729121685,0.0,53
30,SUB1_D,0.009137546643614769,0.0,0.009137546643614769,0.009137546643614769,0.0,54
33,ROUTE1,0.007771489210426807,0.0,0.007771489210426807,0.007771489210426807,0.0,55
21,AGE,0.007558263372629881,0.0,0.007558263372629881,0.007558263372629881,0.0,56
50,COKEFLG,0.007489037234336138,0.0,0.007489037234336138,0.007489037234336138,0.0,57
37,FREQ2,0.006466667167842388,0.0,0.006466667167842388,0.006466667167842388,0.0,58
24,DETNLF,0.006398554891347885,0.0,0.006398554891347885,0.006398554891347885,0.0,59
