idx,name,mean,std,mean_minus_std,mean_plus_std,cv,rank_mean
7,ARRESTS_D,0.9409710367520651,0.001872332405520539,0.9390987043465445,0.9428433691575856,0.001989787498649522,1
59,CBSA2020,0.8957169850667318,0.005402806298174468,0.8903141787685573,0.9011197913649063,0.006031822984546791,2
15,DAYWAIT,0.7329185406366984,0.00828559112272903,0.7246329495139694,0.7412041317594273,0.011304927714792426,3
28,FREQ1_D,0.680868923664093,0.0068521909493996615,0.6740167327146933,0.6877211146134927,0.010063891464637022,4
32,FRSTUSE2,0.5986902316411337,0.0021105597737133305,0.5965796718674203,0.600800791414847,0.0035252951562744724,5
36,FREQ_ATND_SELF_HELP_D,0.5932663877805074,0.006238389271388242,0.5870279985091192,0.5995047770518956,0.010515325661254684,6
3,SERVICES_D,0.5826090176900228,0.005772607308638329,0.5768364103813844,0.5883816249986612,0.009908201097755143,7
55,DIVISION,0.5286229252815247,0.006777489999904959,0.5218454352816198,0.5354004152814296,0.012821029273930038,8
42,OPSYNFLG,0.5102188189824423,0.004660982432431552,0.5055578365500107,0.5148798014148738,0.00913526169365373,9
9,METHUSE,0.5007791618506113,0.004131291981443686,0.49664786986916765,0.504910453832055,0.008249728215879921,10
20,DETNLF_D,0.4983153243859609,0.0031266857090781752,0.4951886386768827,0.5014420100950391,0.006274512454400176,11
40,HERFLG,0.498156080643336,0.0054966931338473295,0.4926593875094887,0.5036527737771833,0.011034078168329712,12
30,FREQ3_D,0.49404268463452655,0.009328066061101674,0.4847146185734249,0.5033707506956282,0.018881093377593906,13
37,ALCFLG,0.4817894995212555,0.0013412955713156985,0.4804482039499398,0.4831307950925712,0.0027839867258388088,14
54,OTHERFLG,0.481397678454717,0.0037797696672445267,0.47761790878747246,0.4851774481219615,0.007851657447492392,15
34,HLTHINS,0.4790518581867218,0.003477682795511882,0.47557417539120994,0.48252954098223366,0.007259512171971103,16
33,FRSTUSE3,0.47618863979975384,0.002781319584087255,0.47340732021566656,0.4789699593838411,0.005840793651139707,17
48,BENZFLG,0.47597264250119525,0.0044275318395511016,0.4715451106616442,0.48040017434074633,0.009302072102893988,18
56,REGION,0.4695120652516683,0.0031868206007439437,0.46632524465092434,0.4726988858524122,0.006787515884252604,19
21,PRIMINC,0.4634721080462138,0.008709509553044982,0.4547625984931688,0.4721816175992588,0.018791874207404382,20
14,LIVARAG_D,0.4291326403617859,0.005604156983589721,0.42352848337819615,0.4347367973453756,0.013059265263218064,21
57,IDU,0.423459271589915,0.003937851895075212,0.41952141969483975,0.4273971234849902,0.009299245899824561,22
0,STFIPS,0.40974270304044086,0.006512821939233431,0.40322988110120744,0.4162555249796743,0.015894906464241847,23
8,EMPLOY_D,0.40803510944048565,0.012287746612964017,0.39574736282752165,0.42032285605344966,0.030114434588272256,24
12,GENDER,0.4057796200116475,0.004866550468662722,0.4009130695429848,0.41064617048031027,0.01199308745107266,25
35,PRIMPAY,0.39964709679285687,0.00795338083042759,0.3916937159624293,0.40760047762328444,0.01990100990161815,26
43,PCPFLG,0.3854018648465474,0.004073614364720414,0.381328250481827,0.38947547921126785,0.01056978374077763,27
2,MARSTAT,0.3813955783843994,0.004879035113565827,0.3765165432708336,0.3862746134979652,0.012792584366692278,28
51,SEDHPFLG,0.36582998434702557,0.0025247546944257597,0.3633052296525998,0.36835473904145133,0.006901442753338618,29
18,RACE,0.36172457536061603,0.003207552026123905,0.35851702333449215,0.3649321273867399,0.008867387633052531,30
58,ALCDRUG,0.35215779145558673,0.0011648722261097658,0.35099291922947695,0.3533226636816965,0.0033078132995296135,31
39,MARFLG,0.3504747847716014,0.0042036721395446695,0.34627111263205673,0.354678456911146,0.011994221331169754,32
16,DSMCRIT,0.35010092457135517,0.0038525433882377978,0.34624838118311735,0.353953467959593,0.01100409372798614,33
23,SUB2_D,0.3420348068078359,0.0036135560463648993,0.338421250761471,0.34564836285420075,0.010564878118954396,34
13,VET,0.33842697739601135,0.0036199390985948094,0.33480703829741654,0.34204691649460617,0.01069636683945242,35
4,DETCRIM,0.3365442752838135,0.0014554557406866492,0.3350888195431268,0.33799973102450015,0.0043247080624361795,36
19,ETHNIC,0.3364572525024414,0.004105500355484595,0.33235175214695684,0.340562752857926,0.012202145517593811,37
46,AMPHFLG,0.33461688955624896,0.004733508758895938,0.329883380797353,0.3393503983151449,0.014146054507808212,38
25,ROUTE1,0.32179463903109234,0.00181598832543146,0.3199786507056609,0.3236106273565238,0.005643314415986886,39
6,NOPRIOR,0.32057836651802063,0.0024540451391124292,0.3181243213789082,0.32303241165713303,0.007655055348142091,40
47,STIMFLG,0.31446365515391034,0.0019111726916646874,0.31255248246224565,0.316374827845575,0.0060775630516960305,41
45,MTHAMFLG,0.3144602080186208,0.0012406723834543594,0.3132195356351664,0.31570088040207517,0.0039454034304425975,42
29,FREQ2_D,0.3051011264324188,0.005442541491293634,0.2996585849411252,0.31054366792371246,0.017838483767444166,43
17,AGE,0.2838781972726186,0.004986181770350953,0.27889201550226767,0.2888643790429695,0.01756451118210583,44
31,FRSTUSE1,0.28287070989608765,0.0012484135152464593,0.2816222963808412,0.2841191234113341,0.004413371450529689,45
38,COKEFLG,0.27836530407269794,0.0026611700094689595,0.27570413406322897,0.2810264740821669,0.009559991746579049,46
44,HALLFLG,0.27642489473025006,0.004415549901278423,0.27200934482897166,0.28084044463152846,0.01597377799704816,47
11,PREG,0.24862173696359,0.003634724282525643,0.24498701268106435,0.2522564612461156,0.01461949516931393,48
