idx,name,mean,std,mean_minus_std,mean_plus_std,cv,rank_mean
14,LIVARAG_D,0.003829087441166242,0.00010170998617775523,0.003727377454988487,0.003930797427343998,0.026562461093021416,1
18,RACE,0.0032958040634791055,9.520269942368072e-05,0.0032006013640554247,0.0033910067629027863,0.028886031326505242,2
3,SERVICES_D,0.0029226524444917836,5.7901574066048096e-05,0.0028647508704257355,0.0029805540185578318,0.019811310159431744,3
52,INHFLG,0.0021658153273165226,0.00010959458757862818,0.0020562207397378943,0.002275409914895151,0.05060200017811191,4
29,FREQ2_D,0.001971038912112514,5.622011354252375e-05,0.0019148187985699903,0.002027259025655038,0.028523086579893206,5
7,ARRESTS_D,0.0018630451522767544,0.00010938135751333331,0.001753663794763421,0.0019724265097900875,0.058711060963639365,6
38,COKEFLG,0.0018480470947300394,7.95583341743043e-05,0.001768488760555735,0.0019276054289043437,0.043049949539260036,7
28,FREQ1_D,0.0017832745409881075,2.7494015452368427e-05,0.001755780525535739,0.0018107685564404759,0.015417713212646478,8
8,EMPLOY_D,0.0017468884276847045,9.375649637265634e-05,0.0016531319313120483,0.0018406449240573608,0.053670569274375225,9
46,AMPHFLG,0.001698519685305655,7.933383747618644e-05,0.0016191858478294685,0.0017778535227818415,0.04670763498505466,10
48,BENZFLG,0.0016983002812291186,7.188080581178813e-05,0.0016264194754173305,0.0017701810870409066,0.04232514509140015,11
13,VET,0.0016762673233946164,0.00014828252619591872,0.0015279847971986977,0.001824549849590535,0.08845995154020608,12
19,ETHNIC,0.001640921536212166,0.0001385151914676956,0.0015024063447444706,0.0017794367276798616,0.08441304986918399,13
41,METHFLG,0.001618132887718578,6.952072414999137e-05,0.0015486121635685868,0.0016876536118685694,0.04296354438973757,14
34,HLTHINS,0.001560403771388034,5.535775799698315e-05,0.001505046013391051,0.0016157615293850172,0.03547655998533026,15
56,REGION,0.00153857523885866,9.235844181567604e-05,0.0014462167970429839,0.0016309336806743361,0.06002855075465079,16
20,DETNLF_D,0.0012528981703023117,6.411013444094822e-05,0.0011887880358613634,0.0013170083047432599,0.05116946928374801,17
49,TRNQFLG,0.0011619298020377755,4.679451712163094e-05,0.0011151352849161447,0.0012087243191594064,0.040273101730899236,18
45,MTHAMFLG,0.0010103262611664832,5.688393088484995e-05,0.0009534423302816332,0.001067210192051333,0.05630253619179807,19
43,PCPFLG,0.0009934665285982192,5.280491310298855e-05,0.0009406616154952306,0.0010462714417012076,0.05315218135984537,20
59,CBSA2020,0.0009870132974659402,4.520216971753852e-05,0.0009418111277484018,0.0010322154671834787,0.0457969207036933,21
1,EDUC,0.0009110873215831816,6.590509927659527e-05,0.0008451822223065863,0.0009769924208597768,0.07233675380541248,22
25,ROUTE1,0.000878463169404616,2.2032090432740694e-05,0.0008564310789718753,0.0009004952598373567,0.02508026653829219,23
39,MARFLG,0.0008376031570757428,1.3194998279087156e-05,0.0008244081587966557,0.00085079815535483,0.015753281452703452,24
2,MARSTAT,0.0008106403208027283,4.0037008252226454e-05,0.0007706033125505019,0.0008506773290549547,0.049389361995441104,25
17,AGE,0.0007888417458161712,6.34261146550192e-05,0.000725415631161152,0.0008522678604711904,0.08040410512173857,26
30,FREQ3_D,0.0007680158596485853,4.0641935138611857e-05,0.0007273739245099735,0.0008086577947871972,0.05291809358885902,27
12,GENDER,0.0006838187691755593,2.619246847861756e-05,0.0006576263006969418,0.0007100112376541768,0.03830323129357257,28
5,PSOURCE,0.0006779562681913376,2.0572616188345833e-05,0.0006573836520029917,0.0006985288843796834,0.030345049015078486,29
57,IDU,0.0005783191979086647,0.00012166335885998324,0.0004566558390486815,0.0006999825567686479,0.21037406210955115,30
11,PREG,0.0004726251451453815,6.264472825926934e-06,0.0004663606723194546,0.00047888961797130843,0.013254632958642003,31
9,METHUSE,0.0004085191952375074,6.822098870766223e-05,0.00034029820652984515,0.00047674018394516966,0.16699579726724834,32
16,DSMCRIT,0.00040786145837046206,3.684210596360424e-05,0.0003710193524068578,0.0004447035643340663,0.09032995201557001,33
32,FRSTUSE2,0.00037251878529787064,0.00011365646137817895,0.0002588623239196917,0.0004861752466760496,0.3051026306963227,34
33,FRSTUSE3,0.0003189733154916515,3.561695493662854e-05,0.0002833563605550229,0.00035459027042828003,0.11166123687095933,35
21,PRIMINC,0.0003043120571722587,2.3154295260850267e-05,0.0002811577619114084,0.00032746635243310895,0.07608734098808173,36
10,PSYPROB,0.00029172576614655554,2.5808616340940347e-06,0.00028914490451246153,0.00029430662778064955,0.00884687584571284,37
4,DETCRIM,0.0002916753971173118,2.9830502333369082e-05,0.0002618448947839427,0.00032150589945068085,0.10227294666670587,38
27,ROUTE3,0.0002594281395431608,2.042163933418892e-05,0.00023900650020897187,0.0002798497788773497,0.07871790381008915,39
35,PRIMPAY,6.655680632168999e-05,6.0970114737738266e-05,5.586691583951724e-06,0.00012752692105942826,0.9160613032279601,40
22,SUB1_D,3.039100799166287e-06,4.6092351056052146e-05,-4.305325025688586e-05,4.913145185521843e-05,15.166443662775716,41
37,ALCFLG,0.0,0.0,0.0,0.0,,42
15,DAYWAIT,0.0,0.0,0.0,0.0,,43
36,FREQ_ATND_SELF_HELP_D,0.0,0.0,0.0,0.0,,44
23,SUB2_D,0.0,0.0,0.0,0.0,,45
0,STFIPS,0.0,0.0,0.0,0.0,,46
58,ALCDRUG,-6.545445467054378e-05,7.701147888186129e-05,-0.00014246593355240507,1.1557024211317506e-05,1.1765658925658802,47
