idx,name,mean,std,mean_minus_std,mean_plus_std,cv,rank_mean
59,CBSA2020,0.9088418483734131,0.002538836999272766,0.9063030113741403,0.9113806853726859,0.002793486021596182,1
7,ARRESTS,0.7451352477073669,0.006113006642427739,0.7390222410649392,0.7512482543497947,0.00820388870508575,2
15,DAYWAIT,0.7329185406366984,0.00828559112272903,0.7246329495139694,0.7412041317594273,0.011304927714792426,3
32,FRSTUSE2,0.5986902316411337,0.0021105597737133305,0.5965796718674203,0.600800791414847,0.0035252951562744724,4
33,FRSTUSE3,0.5471221804618835,0.003179013568726719,0.5439431668931568,0.5503011940306103,0.005810427144523693,5
42,OPSYNFLG,0.5102188189824423,0.004660982432431552,0.5055578365500107,0.5148798014148738,0.00913526169365373,6
55,DIVISION,0.5049237608909607,0.005405185336790152,0.49951857555417056,0.5103289462277508,0.010704953411684289,7
40,HERFLG,0.498156080643336,0.0054966931338473295,0.4926593875094887,0.5036527737771833,0.011034078168329712,8
56,REGION,0.4913964370886485,0.0017524062613786548,0.4896440308272698,0.4931488433500272,0.003566176164729739,9
54,OTHERFLG,0.481397678454717,0.0037797696672445267,0.47761790878747246,0.4851774481219615,0.007851657447492392,10
48,BENZFLG,0.47597264250119525,0.0044275318395511016,0.4715451106616442,0.48040017434074633,0.009302072102893988,11
34,HLTHINS,0.47013582785924274,0.00497630299120579,0.46515952486803697,0.4751121308504485,0.010584819740000076,12
36,FREQ_ATND_SELF_HELP,0.42877619465192157,0.0020470110920335965,0.426729183559888,0.43082320574395516,0.004774078219746668,13
28,FREQ1,0.4195018410682678,0.0018704537333001571,0.4176313873349677,0.42137229480156796,0.004458749760279998,14
12,GENDER,0.4052477777004242,0.002352377476201616,0.4028954002242226,0.4076001551766258,0.0058047880966804214,15
57,IDU,0.40112805366516113,0.001196074657947946,0.39993197900721317,0.4023241283231091,0.0029817776319039533,16
35,PRIMPAY,0.3950009246667226,0.007950265125998564,0.38705065954072404,0.40295118979272115,0.020127206367191435,17
2,MARSTAT,0.38687718907992047,0.0005460969489132805,0.3863310921310072,0.38742328602883375,0.001411551170054817,18
8,EMPLOY,0.36643102765083313,0.003078898278561814,0.3633521293722713,0.36950992592939497,0.00840239512003239,19
29,FREQ2,0.3582019607226054,0.0012009422724481448,0.35700101845015725,0.35940290299505356,0.0033526959763856916,20
16,DSMCRIT,0.3545168439547221,0.002411388626586097,0.35210545532813603,0.3569282325813082,0.006801901426421568,21
18,RACE,0.3518262803554535,0.002726231722698509,0.34910004863275496,0.354552512078152,0.0077488006863619474,22
20,DETNLF,0.3496793508529663,0.0037169728575280852,0.3459623779954382,0.3533963237104944,0.010629660711910334,23
14,LIVARAG,0.3495260179042816,0.0017018970420106653,0.34782412086227094,0.3512279149462923,0.004869156957799729,24
58,ALCDRUG,0.3459278841813405,0.0028601986483160844,0.3430676855330244,0.3487880828296566,0.00826819339841574,25
4,DETCRIM,0.34439709782600403,0.001015297656467195,0.34338180016953684,0.3454123954824712,0.0029480435894385574,26
19,ETHNIC,0.3310667375723521,0.001518373265392256,0.32954836430695983,0.3325851108377444,0.00458630569934688,27
13,VET,0.32902082800865173,0.0017496251901766963,0.32727120281847505,0.3307704531988284,0.005317673050566541,28
25,ROUTE1,0.31687332193056744,0.002020233864727298,0.31485308806584017,0.3188935557952947,0.006375525249077192,29
6,NOPRIOR,0.3110299309094747,0.0006249638767007881,0.31040496703277387,0.3116548947861755,0.002009336769851529,30
39,MARFLG,0.3040395478407542,0.004386484846718979,0.2996530629940352,0.3084260326874732,0.014427349592745987,31
45,MTHAMFLG,0.29969964424769086,0.0050598426698578785,0.294639801577833,0.3047594869175487,0.016883045298766195,32
17,AGE,0.2831737697124481,0.0034074637159629386,0.27976630599648517,0.2865812334284111,0.012033119167156919,33
47,STIMFLG,0.2786645193894704,0.0011984758879274458,0.27746604350154297,0.27986299527739783,0.004300783933861411,34
38,COKEFLG,0.2758912245432536,0.0007487293258054335,0.27514249521744816,0.27663995386905904,0.002713856981297531,35
31,FRSTUSE1,0.2704508900642395,0.001446074906957364,0.26900481515728214,0.27189696497119686,0.005346903856052688,36
11,PREG,0.2532471517721812,0.002397476748966074,0.25084967502321515,0.2556446285211473,0.009466944572481597,37
3,SERVICES,0.251259113351504,0.0029745372165387897,0.24828457613496524,0.2542336505680428,0.011838524688167233,38
9,METHUSE,0.245582049091657,0.0038269730927252958,0.24175507599893173,0.2494090221843823,0.015583276981685983,39
10,PSYPROB,0.23527821401755014,0.0032147621022708987,0.23206345191527925,0.23849297611982104,0.013663662467410177,40
30,FREQ3,0.22795317073663077,0.0028734209345450297,0.22507974980208573,0.2308265916711758,0.012605312421229187,41
37,ALCFLG,0.2099601924419403,0.0007160999514621384,0.20924409249047818,0.21067629239340244,0.0034106462902969547,42
0,STFIPS,0.19452462593714395,0.0011308278180953031,0.19339379811904864,0.19565545375523927,0.005813288742478824,43
21,PRIMINC,0.1883084923028946,0.0028957228828021004,0.1854127694200925,0.1912042151856967,0.015377548019153189,44
22,SUB1,0.15573949615160623,0.0010952196973169368,0.1546442764542893,0.15683471584892317,0.007032382435928673,45
46,AMPHFLG,0.15220984319845834,0.0006712239965286185,0.15153861920192974,0.15288106719498695,0.004409859325940209,46
23,SUB2,0.15199586749076843,0.001175295201467716,0.1508205722893007,0.15317116269223616,0.007732415498329903,47
24,SUB3,0.1517487665017446,0.0018481932638459173,0.14990057323789868,0.1535969597655905,0.012179296784100511,48
43,PCPFLG,0.1515816996494929,0.002303300840610971,0.1492783988088819,0.15388500049010387,0.01519511158627305,49
