run_name,split,los_basis,los_scheme,los_bin,los_bin_label,support,positive_count,positive_rate,acc,precision,recall,f1,auc,predicted_positive_rate,status,source
baseline_id26,test,true_los_bin,coarse6,4,22-28,16248.0,9558.0,0.5882570162481536,0.8295790251107829,0.8762052532417156,0.8271604938271605,0.8509768042624186,0.9044633722335916,0.5553298867552929,aggregate_los_group_metrics,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/diagnostics/forecasted_gnn_performance/los_group_metrics.csv
baseline_id26,test,true_los_bin,coarse6,5,29-37,132094.0,58351.0,0.44173845897618363,0.7529108059412237,0.8106514595012565,0.5749344484241915,0.6727427683360906,0.8442771834449019,0.3132920496010417,aggregate_los_group_metrics,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/diagnostics/forecasted_gnn_performance/los_group_metrics.csv
baseline_id26,test,true_los_bin,breakdown9,0,1,,,,,,,,,,missing_outcome_predictions,missing
baseline_id26,test,true_los_bin,breakdown9,1,2-7,,,,,,,,,,missing_outcome_predictions,missing
baseline_id26,test,true_los_bin,breakdown9,2,8-14,,,,,,,,,,missing_outcome_predictions,missing
baseline_id26,test,true_los_bin,breakdown9,3,15-21,,,,,,,,,,missing_outcome_predictions,missing
baseline_id26,test,true_los_bin,breakdown9,4,22-28,,,,,,,,,,missing_outcome_predictions,missing
baseline_id26,test,true_los_bin,breakdown9,5,29-31,,,,,,,,,,missing_outcome_predictions,missing
baseline_id26,test,true_los_bin,breakdown9,6,32-33,,,,,,,,,,missing_outcome_predictions,missing
baseline_id26,test,true_los_bin,breakdown9,7,34-35,,,,,,,,,,missing_outcome_predictions,missing
baseline_id26,test,true_los_bin,breakdown9,8,36-37,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,coarse6,0,1,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,coarse6,1,2-7,,,,,,,,,,missing_outcome_predictions,missing
struct_top6_l001,valid,true_los_bin,coarse6,2,8-14,,,,,,,,,,missing_outcome_predictions,missing
