head,n_rows,num_classes,unique_true_classes,unique_pred_classes,coverage_ratio,acc,V_oracle,V_mid,V_full,dV_LOS,dV_D,abs_dV_D,dV_total,js_LOS,js_D,js_total,support_min,support_max,run_name,run_type,split,los_scheme,source,source_path,support,macro_f1
FREQ3_D,111531,4,4,4,1.0,0.9513677811550152,0.05868277464878244,0.06210297582352376,0.07361761220145105,0.0034202011747413233,0.011514636377927288,0.011514636377927288,0.014934837552668612,0.0015425446305151569,0.0012129842071800462,0.004455558602726881,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.8111308445613719
FREQ_ATND_SELF_HELP_D,111531,6,6,6,1.0,0.7466713290475294,0.10738758652781087,0.15240281590299834,0.22649598748229433,0.04501522937518747,0.07409317157929599,0.07409317157929599,0.11910840095448345,0.022460956366640035,0.02290682516469014,0.05527023781337829,477.0,63985.0,baseline_id26,baseline_coarse6,valid,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/val_predictions.csv,111531,0.5811048511733953
SERVICES_D,278828,8,8,8,1.0,0.9830217912117865,0.3295482019900595,0.5027380719100223,0.5101157247025017,0.17318986991996277,0.007377652792479372,0.007377652792479372,0.18056752271244214,0.08717834256760101,0.0007590909413137417,0.09311595198303133,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.9588102213000409
EMPLOY_D,278828,5,5,5,1.0,0.7829809057913839,0.11190777492384021,0.12424359406717461,0.15753700809128943,0.012335819143334398,0.033293414024114815,0.033293414024114815,0.04562923316744921,0.01025483760153189,0.004444987356257364,0.018792420044861615,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.755124680891435
LIVARAG_D,278828,4,4,4,1.0,0.8460341142209534,0.126024093729309,0.1925134910847262,0.19693820153732244,0.0664893973554172,0.004424710452596237,0.004424710452596237,0.07091410780801344,0.021012356148520196,0.0014540818745508164,0.027020184393017545,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.8043435085609109
ARRESTS_D,278828,4,4,4,1.0,0.8722007832785803,0.051826764658384275,0.08257277138565794,0.08673827304446724,0.030746006727273664,0.004165501658809301,0.004165501658809301,0.034911508386082965,0.010697734219067638,0.006407492369621922,0.017798081265741766,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.6266025450137739
DETNLF_D,278828,6,6,6,1.0,0.8896237106746812,0.05386808472596889,0.09071454300498348,0.11128992697359119,0.03684645827901459,0.02057538396860771,0.02057538396860771,0.0574218422476223,0.0071236495524701245,0.004775120308605576,0.012086707219908448,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.7820577231171169
SUB1_D,278828,20,20,20,1.0,0.8822248841579755,0.10238812715996466,0.16206505054005904,0.21696177721989346,0.05967692338009438,0.05489672667983442,0.05489672667983442,0.1145736500599288,0.03042010267340395,0.009242150311511465,0.041478929548041686,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.8387970733495246
SUB2_D,278828,20,20,20,1.0,0.9020220350897328,0.06089646485789978,0.11314106156897648,0.1242439866450446,0.052244596711076695,0.011102925076068124,0.011102925076068124,0.06334752178714481,0.01864802269215693,0.0011101417415124797,0.02097628932180759,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.832771244099645
SUB3_D,278828,20,20,20,1.0,0.9591396846801612,0.06446447485876457,0.10370961982171151,0.10394605252191187,0.03924514496294694,0.00023643270020036466,0.00023643270020036466,0.039481577663147305,0.010684958377684753,0.0004909722241436673,0.011293503601994923,1281.0,159699.0,baseline_id26,baseline_coarse6,test,coarse6,joint_prediction_csv,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/joint_predictor/test_predictions.csv,278828,0.8752879428488249
