run_name,run_type,run_dir,config_path,fold,best_epoch,best_valid_metric,valid_loss,valid_acc,valid_precision,valid_recall,valid_f1,valid_auc,test_loss,test_acc,test_precision,test_recall,test_f1,test_auc,status,delta_valid_auc_vs_baseline,delta_test_auc_vs_baseline,delta_valid_auc_vs_9bin_reference,delta_test_auc_vs_0_8877_reference
baseline_id26,baseline_coarse6,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3/folds/fold_0/config.final.yaml,0,44,0.8841430523841003,0.41448105700005033,0.7951558899769585,0.7831969658228927,0.7449585537382704,0.7635993476883446,0.8841430499230247,0.411567229532332,0.7977689855238971,0.7885812645046372,0.7442775855937409,0.7657891782433877,0.886004428683571,fold0_only,0.0,0.0,-0.003556950076975318,-0.0016955713164290565
struct_top6_l001,struct_dvD_top6_lambda001,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061835__ctmp_gin_joint_fresh_id26_struct_dvD_top6_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061835__ctmp_gin_joint_fresh_id26_struct_dvD_top6_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0/config.final.yaml,0,27,0.8855562150504989,0.411806133878496,0.7961729550691244,0.784237313401052,0.7463772521837823,0.7648390446521288,0.8855562150504989,0.40892328787542925,0.7996790268841911,0.7908492254467917,0.7464436972616469,0.7680051226398227,0.8879487939080423,completed,0.0014131651274741364,0.0019443652244712784,-0.002143784949501182,0.0002487939080422219
struct_robust_top3_l003,struct_robust_top3_lambda003,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061634__ctmp_gin_joint_fresh_id26_struct_robust_top3_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260615-061634__ctmp_gin_joint_fresh_id26_struct_robust_top3_lambda001__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2/folds/fold_0/config.final.yaml,0,25,0.8854466888239786,0.4108125538700335,0.7972350230414746,0.795251833417755,0.7318457266776109,0.7622324481783257,0.8854466888239786,0.40931271139022973,0.7995138729319853,0.800673251539177,0.7305292425075167,0.7639946071366686,0.8872850865855599,completed,0.001303638900953863,0.0012806579019889464,-0.0022533111760214553,-0.0004149134144401101
