run_name,run_type,epoch,train_loss,valid_loss,train_struct_loss,valid_struct_loss,lambda_struct,risk_head_set,resolved_risk_heads,stopgrad_los,loss_type,valid_struct_FREQ_ATND_SELF_HELP_D,valid_struct_SUB1_D,valid_struct_FREQ2_D,valid_struct_EMPLOY_D,valid_struct_FREQ1_D,valid_struct_DETNLF_D,train_struct_FREQ_ATND_SELF_HELP_D,train_struct_SUB1_D,train_struct_FREQ2_D,train_struct_EMPLOY_D,train_struct_FREQ1_D,train_struct_DETNLF_D
struct_top6_l001,struct_dvD_top6_lambda001,1,8.894731409505967,7.080503402499978,0.0021581830368873904,0.0007407963532236738,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009788236564234618,0.0016609025865989746,0.00019171489725731006,0.00054103450664349,0.0005026172586623793,0.0005696851178339401,0.0017694791929213994,0.0047777150682848666,0.002308852262445859,0.0007985988712530885,0.0005894167011278231,0.002705035749019162
struct_top6_l001,struct_dvD_top6_lambda001,2,7.670475354982079,6.885823280439464,0.0008021114078532464,0.000659143505190764,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0008395549047144489,0.0014223651447837506,0.0001674310163444724,0.00045873441785753387,0.0005467834131078743,0.0005199920387144004,0.0010178315788926663,0.0019381740844729484,0.00020669752303054988,0.0005768364446439674,0.00046504948978433666,0.0006080791849979155
struct_top6_l001,struct_dvD_top6_lambda001,3,7.459767255214376,6.777681394454536,0.000754132062665864,0.0006009227913428406,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009925531355852108,0.0012619340922598035,0.00012089853971868693,0.000369261001175859,0.00036515863908005133,0.0004957312252906518,0.0010475360953549153,0.0017186842080864654,0.0001665363945886976,0.0005578150655869358,0.0004344372213581831,0.0005997832591223948
struct_top6_l001,struct_dvD_top6_lambda001,4,7.328978794430374,6.722434358859281,0.000718074120405459,0.0005934229654627382,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009997229424514595,0.0012413825644308342,0.0001143406078122223,0.00040391906798195625,0.0002824745190766674,0.0005186979849545132,0.0010072507696541843,0.0016055431418812945,0.00015474590101861594,0.0005259937990408491,0.000447715485930163,0.0005671955135466964
struct_top6_l001,struct_dvD_top6_lambda001,5,7.235341754528361,6.6709515151627565,0.0006969134288120677,0.0005719237472251092,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009188871323921367,0.0011541271067455137,0.00011036932326099246,0.0003867302993216355,0.00034736948599932085,0.0005140590208845316,0.000986590711371877,0.0015265054162645097,0.0001421214452533471,0.0005346734541398367,0.0004158736536604202,0.0005757157677088874
struct_top6_l001,struct_dvD_top6_lambda001,6,7.172044448349454,6.654861432696701,0.0006881675515347908,0.0005672982984132757,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0008762986016077408,0.0011935516323578125,0.0001100276129847871,0.0004038653013920155,0.00029380651913933593,0.0005262400212680597,0.0009776743649493865,0.001492638882396982,0.00014466601224122407,0.0005251047338888467,0.00040955492322859965,0.0005793662753061353
struct_top6_l001,struct_dvD_top6_lambda001,7,7.118397275789069,6.618029878773821,0.0006773410963216036,0.000565555120749963,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009167788931010547,0.0011134621777482024,0.0001223492793734303,0.00040203401829017786,0.000356465215616381,0.00048224103034670476,0.0009666895447472439,0.0014653017494369325,0.00013945882370668906,0.0005150904800607225,0.0004098420237882438,0.0005676638446098093
struct_top6_l001,struct_dvD_top6_lambda001,8,7.075303785297849,6.600918109263849,0.0006660794963555008,0.0005957490672173679,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009789798166303801,0.0011079632527613585,0.0001251261406200308,0.0004525920540391288,0.0003900996075196559,0.0005197334295531752,0.0009623341932162533,0.0014397890645174369,0.00013378611663066554,0.0005165724210075846,0.0004007459387569249,0.0005432491351870624
struct_top6_l001,struct_dvD_top6_lambda001,9,7.038163452520283,6.573634738222174,0.0006604805484121994,0.0005319897745471072,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0007693407369014987,0.0010968676109802526,0.00011265337498700502,0.0004272383777638299,0.0003249102663659969,0.0004609281678071006,0.0009611996380261673,0.0014224875815946464,0.00013294805478693923,0.0004896134300364492,0.0003980887189621363,0.0005585457551823219
struct_top6_l001,struct_dvD_top6_lambda001,10,7.006537002161009,6.557867032672287,0.0006566484758927842,0.0005544629401886203,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.000865836583725134,0.0011201079394412014,0.00014245913755092578,0.00039086109369036254,0.00031359162389347757,0.0004939211526065381,0.000947169633428705,0.0013904709126234243,0.00012864533809967782,0.0005262759459166122,0.00041011837530953123,0.0005372105347680958
struct_top6_l001,struct_dvD_top6_lambda001,11,6.9813511185689805,6.5389487634011365,0.0006520147619268605,0.0005574004442661727,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009814182511603442,0.0010927416418397098,0.00011016637333983838,0.0003726426020041407,0.00030337948999725447,0.00048405420379029636,0.0009313944248804864,0.0013917342220914205,0.00013255782552374062,0.0005081244015638247,0.0003992435181150098,0.0005490340675292628
struct_top6_l001,struct_dvD_top6_lambda001,12,6.953374250766334,6.5291293476699686,0.000651898821945347,0.0005708423431390264,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0007892454239548346,0.001118614659281533,0.0001431885349629404,0.0004389568690184948,0.00036518376099251194,0.0005698647139670857,0.0009544106897427551,0.0013858979730960303,0.00013049148773202975,0.0004983098916212789,0.0003916824536370084,0.0005506003165740141
struct_top6_l001,struct_dvD_top6_lambda001,13,6.934897848772346,6.520967181669462,0.0006362573157434156,0.0005562850546493375,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009233022235235661,0.001074038950059939,9.535290537481602e-05,0.00039373586492862876,0.000354657382859182,0.0004966228901581634,0.000914043198037789,0.0013417056024741005,0.00012627802556831205,0.0005002388994323547,0.0003907601301077836,0.0005445179247110842
struct_top6_l001,struct_dvD_top6_lambda001,14,6.91625359627085,6.5149208996274055,0.0006369008480610193,0.0005824038408559943,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0009430320503578923,0.0011172589037990318,0.0001173478993957669,0.000495030699095394,0.00036084804298231214,0.0004609053337160464,0.0009269642423783106,0.001364216744943005,0.0001256323816157394,0.0004916190717083887,0.00038121616076633983,0.0005317563708884152
struct_top6_l001,struct_dvD_top6_lambda001,15,6.898719476450474,6.506946331864103,0.0006442028209617802,0.0005355762539927019,0.01,new_dvD_top6,"FREQ_ATND_SELF_HELP_D,SUB1_D,FREQ2_D,EMPLOY_D,FREQ1_D,DETNLF_D",True,soft_js_d,0.0008038585178378901,0.0011114346877022416,9.88899936926644e-05,0.0004105551048569646,0.00028259787072241734,0.0005061212601887762,0.0009378126375241005,0.0013695211302480498,0.00012392812453806382,0.0005052873247631889,0.0003872457170198002,0.0005414218818893685
