run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,count,split,source,row_pct
baseline_id26,coarse6,5,29-37,0,1,10281,test,joint_prediction_csv,0.07769037201605042
baseline_id26,coarse6,5,29-37,1,2-7,2109,test,joint_prediction_csv,0.0159370678515563
baseline_id26,coarse6,5,29-37,2,8-14,65,test,joint_prediction_csv,0.0004911851163353056
baseline_id26,coarse6,5,29-37,3,15-21,56,test,joint_prediction_csv,0.00042317486945810947
baseline_id26,coarse6,5,29-37,4,22-28,2003,test,joint_prediction_csv,0.01513605827722488
baseline_id26,coarse6,5,29-37,5,29-37,117819,test,joint_prediction_csv,0.890322141869375
struct_top6_l001,coarse6,0,1,0,1,13436,valid,joint_prediction_csv,0.7406019182008599
struct_top6_l001,coarse6,0,1,1,2-7,2122,valid,joint_prediction_csv,0.11696615588138022
struct_top6_l001,coarse6,0,1,2,8-14,76,valid,joint_prediction_csv,0.004189174291698821
struct_top6_l001,coarse6,0,1,3,15-21,4,valid,joint_prediction_csv,0.00022048285745783266
struct_top6_l001,coarse6,0,1,4,22-28,161,valid,joint_prediction_csv,0.008874435012677765
struct_top6_l001,coarse6,0,1,5,29-37,2343,valid,joint_prediction_csv,0.12914783375592548
struct_top6_l001,coarse6,1,2-7,0,1,1868,valid,joint_prediction_csv,0.08999807284640586
struct_top6_l001,coarse6,1,2-7,1,2-7,13967,valid,joint_prediction_csv,0.6729138562343419
struct_top6_l001,coarse6,1,2-7,2,8-14,306,valid,joint_prediction_csv,0.014742724995182116
struct_top6_l001,coarse6,1,2-7,3,15-21,26,valid,joint_prediction_csv,0.0012526498361919445
struct_top6_l001,coarse6,1,2-7,4,22-28,678,valid,joint_prediction_csv,0.03266525342069763
struct_top6_l001,coarse6,1,2-7,5,29-37,3911,valid,joint_prediction_csv,0.18842744266718056
struct_top6_l001,coarse6,2,8-14,0,1,919,valid,joint_prediction_csv,0.12162519851773425
