run_name,split,los_scheme,head,acc,macro_f1,support,dV_D,js_D,delta_acc_vs_baseline,delta_macro_f1_vs_baseline
baseline_id26,valid,coarse6,EMPLOY_D,0.7838986470129381,0.7578401327456694,111531,0.03665708741771559,0.0046127016552031455,0.0,0.0
baseline_id26,valid,coarse6,DETNLF_D,0.889914014937551,0.7751981796124703,111531,0.021246742028546692,0.00493834413370875,0.0,0.0
baseline_id26,valid,coarse6,SUB1_D,0.8830280370479956,0.8164442619401905,111531,0.05597240122316641,0.009911237283152057,0.0,0.0
baseline_id26,valid,coarse6,FREQ1_D,0.7992576055087823,0.7769118729308457,111531,0.028383183039937004,0.007887499013953145,0.0,0.0
baseline_id26,valid,coarse6,FREQ2_D,0.9497718123212381,0.6837226532958881,111531,0.02868320408278327,0.00036728021551098026,0.0,0.0
baseline_id26,valid,coarse6,FREQ_ATND_SELF_HELP_D,0.7466713290475294,0.5811048511733953,111531,0.07409317157929599,0.02290682516469014,0.0,0.0
baseline_id26,test,coarse6,EMPLOY_D,0.7829809057913839,0.755124680891435,278828,0.033293414024114815,0.004444987356257364,0.0,0.0
baseline_id26,test,coarse6,DETNLF_D,0.8896237106746812,0.7820577231171169,278828,0.02057538396860771,0.004775120308605576,0.0,0.0
baseline_id26,test,coarse6,SUB1_D,0.8822248841579755,0.8387970733495246,278828,0.05489672667983442,0.009242150311511465,0.0,0.0
baseline_id26,test,coarse6,FREQ1_D,0.8014833517437273,0.7795661944707315,278828,0.027590295141473514,0.007659559279847465,0.0,0.0
baseline_id26,test,coarse6,FREQ2_D,0.9484807838524109,0.6815590365925095,278828,0.02988236353662277,0.0003840924304618093,0.0,0.0
baseline_id26,test,coarse6,FREQ_ATND_SELF_HELP_D,0.7449467054958613,0.5771456699021346,278828,0.07398458167626171,0.023594131746280424,0.0,0.0
struct_top6_l001,valid,coarse6,EMPLOY_D,0.7859339555818562,0.759754613059229,111531,0.01903421923502581,0.0024149910945073486,0.0020353085689180928,0.0019144803135595634
struct_top6_l001,valid,coarse6,DETNLF_D,0.8911334068554931,0.7786053249956725,111531,0.02311243110109082,0.004622345885483759,0.0012193919179421808,0.0034071453832021925
struct_top6_l001,valid,coarse6,SUB1_D,0.8844088190727242,0.8176366347748523,111531,0.03534202629017283,0.003434680393817323,0.0013807820247285774,0.0011923728346617812
struct_top6_l001,valid,coarse6,FREQ1_D,0.8006025230653361,0.777202660467258,111531,0.03114619880745209,0.00895343471589967,0.0013449175565537486,0.000290787536412318
struct_top6_l001,valid,coarse6,FREQ2_D,0.9511525943459666,0.9364417870581052,111531,0.009271522481340472,0.0003824258574935118,0.0013807820247284663,0.2527191337622171
struct_top6_l001,valid,coarse6,FREQ_ATND_SELF_HELP_D,0.7516564901238221,0.5833543942906496,111531,0.05605917447271719,0.022083130122096627,0.004985161076292655,0.002249543117254338
struct_top6_l001,test,coarse6,EMPLOY_D,0.7850897327384624,0.7570261088167238,278828,0.017270995839361758,0.002312404776433261,0.0021088269470784793,0.0019014279252888011
struct_top6_l001,test,coarse6,DETNLF_D,0.8905992224597242,0.7828529373900261,278828,0.023653641063987124,0.004423683905030162,0.0009755117850430706,0.0007952142729092948
struct_top6_l001,test,coarse6,SUB1_D,0.8838351958913739,0.8477523191654603,278828,0.035333482397027355,0.0033842646956399737,0.0016103117333984285,0.008955245815935764
struct_top6_l001,test,coarse6,FREQ1_D,0.8032873312579798,0.780799070851121,278828,0.02980563835883876,0.008397260511121009,0.001803979514252485,0.0012328763803894915
struct_top6_l001,test,coarse6,FREQ2_D,0.9495423702067224,0.6838352115852577,278828,0.031195722413998192,0.000417364604858363,0.0010615863543115278,0.0022761749927482366
struct_top6_l001,test,coarse6,FREQ_ATND_SELF_HELP_D,0.7500035864403862,0.5793704700451152,278828,0.05678740986786185,0.02278784767172442,0.005056880944524944,0.002224800142980654
