id,predictor_run_name,predictor_run_dir,prediction_path,direction,heads_mode,los_mode,detach,lambda_joint,lambda_los,lambda_entropy,seed,fold,split,n_rows,n_los_bins,resolved_los_bins,mean_dV_D,median_dV_D,max_dV_D,mean_abs_dV_D,mean_js_D,max_js_D,mean_dV_LOS,max_dV_LOS,downstream_dirs,top1_dV_D_head,top1_dV_D,top2_dV_D_head,top2_dV_D,top3_dV_D_head,top3_dV_D,top4_dV_D_head,top4_dV_D,top5_dV_D_head,top5_dV_D,top1_js_D_head,top1_js_D,top2_js_D_head,top2_js_D,top3_js_D_head,top3_js_D,downstream_valid_auc,downstream_test_auc,downstream_test_acc,downstream_test_f1,downstream_test_precision,downstream_test_recall,downstream_test_loss,downstream_best_epoch,downstream_fold,downstream_status
9,20260516-125415__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260516-125415__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260516-125415__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1/test_predictions.csv,D_TO_LOS,all,coarse,F,0.0,1.0,0.3,1,0,test,209121,6,coarse6,0.020626919757366507,0.0190465511601679,0.05790556635511357,0.020626919757366507,0.0036866043892388005,0.017758269538979143,0.047485953260025776,0.1613808017781988,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-030924__ctmp_gin_joint_fresh_id9__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2,FREQ_ATND_SELF_HELP_D,0.05790556635511357,SUB1_D,0.03619700237636134,EMPLOY_D,0.031167949461168937,LIVARAG_D,0.02984817415024435,DETNLF_D,0.02200506020506278,FREQ_ATND_SELF_HELP_D,0.017758269538979143,FREQ1_D,0.005972561075946605,ARRESTS_D,0.005241732138781308,0.8854453665701589,0.8866914793046519,0.7989681468290442,0.7655460319985931,0.7942293156326293,0.738862306423976,0.4105903873122848,29.0,0,fold0_only
22,20260517-084644__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260517-084644__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260517-084644__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1/test_predictions.csv,LOS_TO_D,partial,coarse,F,0.3,1.0,0.3,1,0,test,209121,6,coarse6,0.013633877846964971,0.00802302633450349,0.05064607656848638,0.014257804794827335,0.0034345500115325156,0.01867418825311032,0.044080635066653884,0.15659859769831136,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-030905__ctmp_gin_joint_fresh_id22__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3,FREQ_ATND_SELF_HELP_D,0.05064607656848638,SUB1_D,0.03418792813960686,DETNLF_D,0.019016728627161278,FREQ1_D,0.017846571076748224,FREQ2_D,0.008617725048813654,FREQ_ATND_SELF_HELP_D,0.01867418825311032,ARRESTS_D,0.005397600248327237,FREQ1_D,0.004128139014034005,0.8845166582443578,0.8866689350205103,0.7992876838235294,0.7666583187244345,0.7926909266675873,0.7422812065565291,0.4100164365715076,40.0,0,fold0_only
26,20260517-085112__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260517-085112__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260517-085112__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1/test_predictions.csv,D_TO_LOS,partial,coarse,F,0.3,1.0,0.3,1,0,test,209121,6,coarse6,0.014110399286340128,0.00932067551657561,0.04769465882814555,0.0147292487675966,0.0035648071978651766,0.017525615864004904,0.040430913717955395,0.1484708592473225,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-041725__ctmp_gin_joint_fresh_id26__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3,FREQ_ATND_SELF_HELP_D,0.04769465882814555,SUB1_D,0.037495683160554266,DETNLF_D,0.016856790501126234,FREQ1_D,0.015618067208575337,EMPLOY_D,0.013284262059149066,FREQ_ATND_SELF_HELP_D,0.017525615864004904,SUB1_D,0.005456014927815403,ARRESTS_D,0.0052125375771621,0.8841430523841003,0.8860044285791486,0.7977689855238971,0.7657891782433877,0.7885812645046372,0.7442775855937409,0.41112441067648964,44.0,0,fold0_only
38,20260517-174939__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260517-174939__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260517-174939__joint_consistent_predictor__bs=1024__lr=1.00e-03__seed=1/test_predictions.csv,D_TO_LOS,all,coarse,F,0.3,1.0,0.3,1,0,test,209121,6,coarse6,0.016290540064245306,0.009809710410818837,0.05659498504057134,0.016504238987258717,0.003905084400767258,0.017921600181010047,0.05175256554802699,0.1679660236315602,/Users/jeong-yunseong/Documents/programming/Phase_2_public/runs/20260519-153542__ctmp_gin_joint_fresh_id38__bs=512__lr=6.10e-04__seed=1__cv=5__test=0.2_lambda=0.3,FREQ_ATND_SELF_HELP_D,0.05659498504057134,SUB1_D,0.04202192030741089,FREQ1_D,0.028482877797721018,DETNLF_D,0.012566222858007431,FREQ3_D,0.01056305264515503,FREQ_ATND_SELF_HELP_D,0.017921600181010047,ARRESTS_D,0.00722768334354539,FREQ1_D,0.007036878615254137,0.8855443805588736,0.8873482344155799,0.7991727941176471,0.7665072089897396,0.7925982838101486,0.7420791439009408,0.40915502435118845,25.0,0,fold0_only
