idx,name,mean,std,mean_minus_std,mean_plus_std,cv,rank_mean
19,ARRESTS_D,2.885558605194092,0.0,2.885558605194092,2.885558605194092,0.0,1
48,FREQ_ATND_SELF_HELP_D,1.5792385339736938,0.0,1.5792385339736938,1.5792385339736938,0.0,2
66,OTHERFLG,1.5269949436187744,0.0,1.5269949436187744,1.5269949436187744,0.0,3
9,METHUSE,1.1340161561965942,0.0,1.1340161561965942,1.1340161561965942,0.0,4
10,PSYPROB,0.9376595616340637,0.0,0.9376595616340637,0.9376595616340637,0.0,5
44,FRSTUSE3,0.9292263984680176,0.0,0.9292263984680176,0.9292263984680176,0.0,6
43,FRSTUSE2,0.8141987323760986,0.0,0.8141987323760986,0.8141987323760986,0.0,7
60,BENZFLG,0.5813261866569519,0.0,0.5813261866569519,0.5813261866569519,0.0,8
16,SERVICES_D,0.5583986639976501,0.0,0.5583986639976501,0.5583986639976501,0.0,9
39,FREQ1_D,0.4988933205604553,0.0,0.4988933205604553,0.4988933205604553,0.0,10
0,STFIPS,0.47465193271636963,0.0,0.47465193271636963,0.47465193271636963,0.0,11
12,GENDER,0.4545438289642334,0.0,0.4545438289642334,0.4545438289642334,0.0,12
33,ROUTE1,0.3972140848636627,0.0,0.3972140848636627,0.3972140848636627,0.0,13
24,DETNLF,0.3827842175960541,0.0,0.3827842175960541,0.3827842175960541,0.0,14
45,HLTHINS,0.35551443696022034,0.0,0.35551443696022034,0.35551443696022034,0.0,15
46,PRIMPAY,0.33240780234336853,0.0,0.33240780234336853,0.33240780234336853,0.0,16
52,HERFLG,0.2853184640407562,0.0,0.2853184640407562,0.2853184640407562,0.0,17
40,FREQ2_D,0.2646538317203522,0.0,0.2646538317203522,0.2646538317203522,0.0,18
55,PCPFLG,0.2566833794116974,0.0,0.2566833794116974,0.2566833794116974,0.0,19
28,SUB2,0.2419905811548233,0.0,0.2419905811548233,0.2419905811548233,0.0,20
23,ETHNIC,0.21618154644966125,0.0,0.21618154644966125,0.21618154644966125,0.0,21
20,DSMCRIT,0.14971916377544403,0.0,0.14971916377544403,0.14971916377544403,0.0,22
13,VET,0.13548479974269867,0.0,0.13548479974269867,0.13548479974269867,0.0,23
22,RACE,0.1277727633714676,0.0,0.1277727633714676,0.1277727633714676,0.0,24
6,NOPRIOR,0.11823740601539612,0.0,0.11823740601539612,0.11823740601539612,0.0,25
7,ARRESTS,0.08495981991291046,0.0,0.08495981991291046,0.08495981991291046,0.0,26
35,ROUTE3,0.05513446778059006,0.0,0.05513446778059006,0.05513446778059006,0.0,27
26,PRIMINC,0.04259374737739563,0.0,0.04259374737739563,0.04259374737739563,0.0,28
42,FRSTUSE1,0.036343369632959366,0.0,0.036343369632959366,0.036343369632959366,0.0,29
8,EMPLOY,0.02878182753920555,0.0,0.02878182753920555,0.02878182753920555,0.0,30
59,STIMFLG,0.016862325370311737,0.0,0.016862325370311737,0.016862325370311737,0.0,31
32,SUB3_D,-0.005232985597103834,0.0,-0.005232985597103834,-0.005232985597103834,0.0,32
34,ROUTE2,-0.04230346530675888,0.0,-0.04230346530675888,-0.04230346530675888,0.0,33
27,SUB1,-0.0498131588101387,0.0,-0.0498131588101387,-0.0498131588101387,0.0,34
36,FREQ1,-0.073288694024086,0.0,-0.073288694024086,-0.073288694024086,0.0,35
58,AMPHFLG,-0.09274335205554962,0.0,-0.09274335205554962,-0.09274335205554962,0.0,36
31,SUB2_D,-0.1054498702287674,0.0,-0.1054498702287674,-0.1054498702287674,0.0,37
21,AGE,-0.11740259826183319,0.0,-0.11740259826183319,-0.11740259826183319,0.0,38
62,BARBFLG,-0.12492294609546661,0.0,-0.12492294609546661,-0.12492294609546661,0.0,39
63,SEDHPFLG,-0.1469787359237671,0.0,-0.1469787359237671,-0.1469787359237671,0.0,40
49,ALCFLG,-0.17544901371002197,0.0,-0.17544901371002197,-0.17544901371002197,0.0,41
51,MARFLG,-0.2021854668855667,0.0,-0.2021854668855667,-0.2021854668855667,0.0,42
67,DIVISION,-0.2174861878156662,0.0,-0.2174861878156662,-0.2174861878156662,0.0,43
53,METHFLG,-0.22898432612419128,0.0,-0.22898432612419128,-0.22898432612419128,0.0,44
47,FREQ_ATND_SELF_HELP,-0.23678208887577057,0.0,-0.23678208887577057,-0.23678208887577057,0.0,45
56,HALLFLG,-0.2857073247432709,0.0,-0.2857073247432709,-0.2857073247432709,0.0,46
65,OTCFLG,-0.29759448766708374,0.0,-0.29759448766708374,-0.29759448766708374,0.0,47
50,COKEFLG,-0.3009955883026123,0.0,-0.3009955883026123,-0.3009955883026123,0.0,48
14,LIVARAG,-0.3077695369720459,0.0,-0.3077695369720459,-0.3077695369720459,0.0,49
11,PREG,-0.3436494767665863,0.0,-0.3436494767665863,-0.3436494767665863,0.0,50
37,FREQ2,-0.3540358543395996,0.0,-0.3540358543395996,-0.3540358543395996,0.0,51
57,MTHAMFLG,-0.43046361207962036,0.0,-0.43046361207962036,-0.43046361207962036,0.0,52
15,DAYWAIT,-0.4492833912372589,0.0,-0.4492833912372589,-0.4492833912372589,0.0,53
71,CBSA2020,-0.4541575312614441,0.0,-0.4541575312614441,-0.4541575312614441,0.0,54
29,SUB3,-0.47663238644599915,0.0,-0.47663238644599915,-0.47663238644599915,0.0,55
17,EMPLOY_D,-0.4964293837547302,0.0,-0.4964293837547302,-0.4964293837547302,0.0,56
68,REGION,-0.49962836503982544,0.0,-0.49962836503982544,-0.49962836503982544,0.0,57
38,FREQ3,-0.5862711668014526,0.0,-0.5862711668014526,-0.5862711668014526,0.0,58
