,idx,name,mean,std,mean_minus_std,mean_plus_std,cv,rank_mean
0,19,ARRESTS_D,0.0364416564504305,8.8086353273053e-05,0.0363535700971575,0.0365297428037036,0.0024171885104309,1
1,67,DIVISION,0.0295267794281244,2.1194036328195356e-05,0.0295055853917962,0.0295479734644526,0.0007177903157297,2
2,20,DSMCRIT,0.027387543891867,5.302804854276121e-05,0.0273345158433242,0.0274405719404097,0.0019362104448697,3
3,68,REGION,0.0263649336993694,2.8093757060688506e-05,0.0263368399423087,0.0263930274564301,0.0010655728317405,4
4,39,FREQ1_D,0.0263425428420305,5.703347674027115e-05,0.0262855093652902,0.0263995763187707,0.0021650710442908,5
5,18,LIVARAG_D,0.0258489760259787,4.097099091140188e-05,0.0258080050350673,0.0258899470168901,0.0015850140783226,6
6,6,NOPRIOR,0.0254618600010871,5.3889974154236585e-05,0.0254079700269329,0.0255157499752414,0.0021164979365975,7
7,32,SUB3_D,0.0253635353098313,9.598613740701568e-05,0.0252675491724242,0.0254595214472383,0.0037844147605799,8
8,52,HERFLG,0.0237645568946997,2.4393553618184057e-05,0.0237401633410815,0.0237889504483179,0.0010264678498434,9
9,41,FREQ3_D,0.0236736983060836,4.494765032708129e-05,0.0236287506557566,0.0237186459564107,0.0018986323871302,10
10,31,SUB2_D,0.0236415024846792,3.211348298303988e-05,0.0236093890016961,0.0236736159676622,0.0013583520338375,11
11,71,CBSA2020,0.020831906547149,9.21909197257775e-05,0.0207397156274232,0.0209240974668748,0.0044254672282213,12
12,54,OPSYNFLG,0.0200817721585432,2.3971846819040527e-05,0.0200578003117242,0.0201057440053623,0.0011937117217437,13
13,12,GENDER,0.0196211573978265,2.8729211599210832e-05,0.0195924281862273,0.0196498866094257,0.0014641955628159,14
14,63,SEDHPFLG,0.0184941987196604,2.913178701898607e-05,0.0184650669326414,0.0185233305066794,0.0015751851410581,15
15,61,TRNQFLG,0.0184469036757946,3.798098639458761e-05,0.0184089226894,0.0184848846621891,0.0020589355841015,16
16,42,FRSTUSE1,0.0176439434289932,1.8883345925721687e-05,0.0176250600830675,0.0176628267749189,0.0010702452091685,17
17,17,EMPLOY_D,0.0174249652773141,8.110416955354559e-05,0.0173438611077606,0.0175060694468677,0.0046544809853444,18
18,2,MARSTAT,0.0169348847121,3.8881291190916034e-05,0.0168960034209091,0.0169737660032909,0.0022959288977701,19
19,25,DETNLF_D,0.0169038313130537,4.731162141381931e-05,0.0168565196916399,0.0169511429344675,0.0027988697081521,20
20,55,PCPFLG,0.0167589435974756,1.987302611769713e-05,0.0167390705713579,0.0167788166235933,0.001185816158525,21
21,57,MTHAMFLG,0.0166978817433118,2.2502948533960472e-05,0.0166753787947779,0.0167203846918458,0.0013476528867485,22
22,4,DETCRIM,0.0165401380509138,7.187906156057022e-05,0.0164682589893532,0.0166120171124743,0.0043457352858429,23
23,56,HALLFLG,0.0163484091560045,1.0089059170482056e-05,0.0163383200968341,0.016358498215175,0.000617127885301,24
24,0,LOS,0.0157949005564053,4.844197731088458e-05,0.0157464585790945,0.0158433425337162,0.003066937783995,1
25,34,ROUTE2,0.0157334816952546,1.7384981734060184e-05,0.0157160967135205,0.0157508666769887,0.0011049672329871,25
26,64,INHFLG,0.0156606994569301,2.370739013753495e-05,0.0156369920667926,0.0156844068470676,0.001513814258599,26
27,23,ETHNIC,0.0154823676372567,3.250613103287109e-05,0.0154498615062239,0.0155148737682896,0.0020995581421699,27
28,65,OTCFLG,0.0153762701277931,2.9288228627962534e-05,0.0153469818991651,0.0154055583564211,0.0019047680864439,28
29,70,ALCDRUG,0.0153530758495132,4.143470235165359e-05,0.0153116411471615,0.0153945105518648,0.0026987883573158,29
30,60,BENZFLG,0.015086468309164,2.2742188866057346e-05,0.0150637261202979,0.0151092104980301,0.0015074561123257,30
31,35,ROUTE3,0.0149382582555214,2.3636417554075224e-05,0.0149146218379673,0.0149618946730755,0.0015822739940473,31
32,16,SERVICES_D,0.0147680932035048,2.1293276752368395e-05,0.0147467999267525,0.0147893864802572,0.0014418433347451,32
33,3,SERVICES,0.0140473991632461,3.431431232269105e-05,0.0140130848509234,0.0140817134755688,0.0024427519944383,33
34,49,ALCFLG,0.0140254177773992,2.109724599107088e-05,0.0140043205314081,0.0140465150233902,0.0015042151560766,34
35,59,STIMFLG,0.0139523039882381,1.7951129156738244e-05,0.0139343528590814,0.0139702551173949,0.0012866067978357,35
36,69,IDU,0.0134774881104628,9.08755414567448e-06,0.0134684005563171,0.0134865756646084,0.0006742765470235,36
37,40,FREQ2_D,0.0134711656719446,3.487696803227638e-05,0.0134362887039123,0.0135060426399768,0.0025890089159033,37
38,48,FREQ_ATND_SELF_HELP_D,0.0133608725542823,5.085072888873524e-05,0.0133100218253936,0.013411723283171,0.0038059437122942,38
39,9,METHUSE,0.013345635185639,6.791036243732382e-05,0.0132777248232017,0.0134135455480763,0.0050885822587448,39
40,5,PSOURCE,0.0122776220863064,4.095486791002295e-05,0.0122366672183963,0.0123185769542164,0.0033357328986124,40
41,22,RACE,0.012086797816058,3.953682595196639e-05,0.012047260990106,0.0121263346420099,0.0032710753132181,41
42,66,OTHERFLG,0.0115086600805322,2.6378180104755437e-05,0.0114822819004274,0.0115350382606369,0.0022920287783437,42
43,11,PREG,0.0113286217674613,5.821878257438733e-06,0.0113227998892038,0.0113344436457187,0.0005139087858119,43
44,62,BARBFLG,0.0111823054030537,2.5318977798552603e-05,0.0111569864252552,0.0112076243808523,0.0022642001703546,44
