feature,kind,index,baseline_auc,perm_auc_mean,importance_mean,importance_std,num_repeats
LOS,los,,0.9528884792891299,0.8660275364009792,0.08686094288815058,0.0014984658285020608,5
SERVICES,node,3.0,0.9528884792891299,0.8723870180643679,0.08050146122476194,0.0005420095807443311,5
STFIPS,node,0.0,0.9528884792891299,0.9065591471929298,0.04632933209620005,0.000851634809118736,5
CBSA2020,node,71.0,0.9528884792891299,0.9149317752491859,0.03795670403994387,0.0006175545362059199,5
FREQ1_D,node,39.0,0.9528884792891299,0.9265973992421633,0.026291080046966585,0.0010445940482524834,5
FREQ_ATND_SELF_HELP_D,node,48.0,0.9528884792891299,0.9460039614192214,0.006884517869908402,0.00038738545698663556,5
LIVARAG_D,node,18.0,0.9528884792891299,0.9461128189599931,0.006775660329136746,0.00041328755086305453,5
SUB1_D,node,30.0,0.9528884792891299,0.9477021944299372,0.00518628485919268,0.00029790395014814053,5
PSOURCE,node,5.0,0.9528884792891299,0.949074793780257,0.003813685508872866,0.00017021669263553104,5
PRIMPAY,node,46.0,0.9528884792891299,0.9494138664488719,0.0034746128402579402,0.00018381269523887094,5
DETCRIM,node,4.0,0.9528884792891299,0.9495308412876557,0.0033576380014741503,0.0003346426582770077,5
FRSTUSE1,node,42.0,0.9528884792891299,0.949638263531608,0.003250215757521957,0.00011346458130444217,5
METHUSE,node,9.0,0.9528884792891299,0.9497976027765123,0.003090876512617635,0.00022810647635556608,5
DIVISION,node,67.0,0.9528884792891299,0.9498350427255453,0.0030534365635845663,0.00027852616558548117,5
DSMCRIT,node,20.0,0.9528884792891299,0.9499709032924784,0.0029175759966516336,0.00014886824768380502,5
REGION,node,68.0,0.9528884792891299,0.9504915030428294,0.0023969762463006417,0.00017333975720148676,5
DAYWAIT,node,15.0,0.9528884792891299,0.9507876186666371,0.0021008606224928615,0.0002778601877590724,5
ARRESTS_D,node,19.0,0.9528884792891299,0.9507941867700822,0.0020942925190477355,0.00025602823483402245,5
PSYPROB,node,10.0,0.9528884792891299,0.9510066653332295,0.0018818139559002578,0.00020826803510042192,5
EMPLOY_D,node,17.0,0.9528884792891299,0.9512999964812078,0.0015884828079220981,0.0003142012012881411,5
HLTHINS,node,45.0,0.9528884792891299,0.9513423812592832,0.001546098029846732,0.00014937878104567373,5
LIVARAG,node,14.0,0.9528884792891299,0.951470552339256,0.001417926949873971,7.524086956857648e-05,5
ARRESTS,node,7.0,0.9528884792891299,0.9515000620418625,0.0013884172472674594,0.0001162328795009903,5
SUB1,node,27.0,0.9528884792891299,0.9515746502505751,0.001313829038554859,0.00015768681983098298,5
FREQ1,node,36.0,0.9528884792891299,0.951821731505043,0.00106674778408693,0.0001457209494100518,5
EDUC,node,1.0,0.9528884792891299,0.9519592727582517,0.0009292065308783348,0.00012754410756445482,5
NOPRIOR,node,6.0,0.9528884792891299,0.9519730775356601,0.00091540175346978,7.851351850272598e-05,5
EMPLOY,node,8.0,0.9528884792891299,0.952054122728064,0.0008343565610658077,8.210525792441033e-05,5
DETNLF,node,24.0,0.9528884792891299,0.9520898245789488,0.0007986547101811681,0.00015865536790945277,5
