feature,kind,index,baseline_auc,perm_auc_mean,importance_mean,importance_std,num_repeats
LOS,los,,0.9533729853462253,0.8659872754674776,0.08738570987874761,0.0013981526874479956,5
SERVICES,node,3.0,0.9533729853462253,0.8709080321690674,0.0824649531771579,0.0020799902777141766,5
STFIPS,node,0.0,0.9533729853462253,0.9089889843876217,0.04438400095860362,0.001603674487395928,5
CBSA2020,node,71.0,0.9533729853462253,0.9155869080372421,0.03778607730898324,0.0005407963563332623,5
FREQ1_D,node,39.0,0.9533729853462253,0.9285615503224605,0.02481143502376475,0.00046408362730329677,5
FREQ_ATND_SELF_HELP_D,node,48.0,0.9533729853462253,0.9464543711730415,0.006918614173183846,0.00029644721648335243,5
LIVARAG_D,node,18.0,0.9533729853462253,0.9470166390782946,0.0063563462679306236,0.0002214034514478443,5
SUB1_D,node,30.0,0.9533729853462253,0.9486101327770704,0.004762852569154696,0.0005395975209112133,5
PSOURCE,node,5.0,0.9533729853462253,0.9498100464405187,0.0035629389057065587,0.000299209088337882,5
METHUSE,node,9.0,0.9533729853462253,0.9500221738229989,0.0033508115232263602,0.00014103161351073333,5
FRSTUSE1,node,42.0,0.9533729853462253,0.9504499204119627,0.0029230649342626425,0.0005252977085630077,5
DETCRIM,node,4.0,0.9533729853462253,0.9504562671631204,0.002916718183104905,0.00021936908835032073,5
DIVISION,node,67.0,0.9533729853462253,0.9505532522970963,0.0028197330491290364,0.0003700104909535395,5
DSMCRIT,node,20.0,0.9533729853462253,0.9506790181331567,0.0026939672130685153,0.0003187577391837961,5
REGION,node,68.0,0.9533729853462253,0.9507239332468412,0.0026490520993840195,0.0003013120980337336,5
PRIMPAY,node,46.0,0.9533729853462253,0.9507372182856196,0.0026357670606057095,0.00016278635984817914,5
ARRESTS_D,node,19.0,0.9533729853462253,0.9512292831248292,0.00214370222139606,7.413852767645701e-05,5
EMPLOY_D,node,17.0,0.9533729853462253,0.9515111321978278,0.0018618531483975298,0.0003103544831220809,5
DAYWAIT,node,15.0,0.9533729853462253,0.9515721252540598,0.0018008600921654682,0.00015044080575433923,5
SUB1,node,27.0,0.9533729853462253,0.9516536823024474,0.0017193030437780087,0.0002606563707902554,5
PSYPROB,node,10.0,0.9533729853462253,0.951907731938855,0.0014652534073700929,0.00014652173461740138,5
