feature,kind,index,baseline_auc,perm_auc_mean,importance_mean,importance_std,num_repeats
FREQ1,node,36.0,0.9533729853462253,0.9519417031651146,0.0014312821811107933,7.138357008449403e-05,5
LIVARAG,node,14.0,0.9533729853462253,0.9520031090934318,0.0013698762527935226,0.00013124305673002656,5
HLTHINS,node,45.0,0.9533729853462253,0.9523262518550084,0.0010467334912169334,0.00011977867632133584,5
ARRESTS,node,7.0,0.9533729853462253,0.952393624988396,0.0009793603578292175,0.00016776233146972584,5
EDUC,node,1.0,0.9533729853462253,0.9525366527656522,0.0008363325805729183,8.49134495479248e-05,5
NOPRIOR,node,6.0,0.9533729853462253,0.9525815817651694,0.0007914035810560494,9.154600126764447e-05,5
FREQ3_D,node,41.0,0.9533729853462253,0.9526079926185137,0.0007649927277116441,7.65376720397807e-05,5
FREQ_ATND_SELF_HELP,node,47.0,0.9533729853462253,0.9526238983767389,0.0007490869694864788,9.034790191250717e-05,5
EMPLOY,node,8.0,0.9533729853462253,0.9526372787649002,0.0007357065813252018,5.279833616802853e-05,5
SERVICES_D,node,16.0,0.9533729853462253,0.952724498455766,0.0006484868904593988,0.00011747919209010183,5
MARSTAT,node,2.0,0.9533729853462253,0.9527371845523038,0.0006358007939213373,0.00012152420594247673,5
PRIMINC,node,26.0,0.9533729853462253,0.9527571533051077,0.0006158320411175699,6.742669399026784e-05,5
DETNLF,node,24.0,0.9533729853462253,0.9528008723857561,0.0005721129604692621,6.750397629313658e-05,5
ALCDRUG,node,70.0,0.9533729853462253,0.952851311283594,0.0005216740626311722,0.0001087609095033055,5
IDU,node,69.0,0.9533729853462253,0.9528798383378059,0.0004931470084194034,0.00010667610551011264,5
ROUTE1,node,33.0,0.9533729853462253,0.952882188746381,0.0004907965998443675,0.00010961634144039728,5
SUB2,node,28.0,0.9533729853462253,0.952995013912308,0.00037797143391717916,0.00010246867532417567,5
SUB3_D,node,32.0,0.9533729853462253,0.9530031075011897,0.0003698778450356155,0.00016463663384826398,5
FREQ2_D,node,40.0,0.9533729853462253,0.9530035731394383,0.0003694122067870342,9.002026014230376e-05,5
RACE,node,22.0,0.9533729853462253,0.9530099643252598,0.000363021020965526,0.00013333087018259262,5
SUB2_D,node,31.0,0.9533729853462253,0.9530467441925653,0.0003262411536599563,3.091233718394621e-05,5
VET,node,13.0,0.9533729853462253,0.9530506275970441,0.0003223577491812124,4.021970253918441e-05,5
FRSTUSE3,node,44.0,0.9533729853462253,0.9530670693484022,0.00030591599782299196,6.936244429434019e-05,5
FRSTUSE2,node,43.0,0.9533729853462253,0.9530985540849285,0.00027443126129664817,4.866073630182357e-05,5
DETNLF_D,node,25.0,0.9533729853462253,0.9531148532750737,0.00025813207115168437,5.118216996523618e-05,5
AGE,node,21.0,0.9533729853462253,0.9531441653416806,0.0002288200045447608,7.627169116003818e-05,5
FREQ2,node,37.0,0.9533729853462253,0.9531458603389631,0.00022712500726214114,3.812167970702729e-05,5
ETHNIC,node,23.0,0.9533729853462253,0.9531606765222012,0.00021230882402423212,6.863590940865795e-05,5
SUB3,node,29.0,0.9533729853462253,0.9531684146337716,0.00020457071245365553,3.521324812442262e-05,5
HERFLG,node,52.0,0.9533729853462253,0.9531686951275873,0.00020429021863801466,1.311651373370462e-05,5
MTHAMFLG,node,57.0,0.9533729853462253,0.9531790585872155,0.0001939267590098437,7.141139972602302e-05,5
ROUTE3,node,35.0,0.9533729853462253,0.9531948541845029,0.0001781311617222725,8.073049425242602e-05,5
PREG,node,11.0,0.9533729853462253,0.9532016156591903,0.00017136968703497236,5.283088978119379e-05,5
ALCFLG,node,49.0,0.9533729853462253,0.9532190673734295,0.00015391797279566964,5.1957928551747154e-05,5
FREQ3,node,38.0,0.9533729853462253,0.9532691850456768,0.00010380030054850664,6.837181206659904e-05,5
ROUTE2,node,34.0,0.9533729853462253,0.9532696062492615,0.00010337909696371828,8.478803004488497e-05,5
HALLFLG,node,56.0,0.9533729853462253,0.9533400203799587,3.296496626665757e-05,5.803950930869889e-06,5
BENZFLG,node,60.0,0.9533729853462253,0.9533429438105532,3.0041535672165055e-05,2.2924740676989864e-05,5
SEDHPFLG,node,63.0,0.9533729853462253,0.9533513623279143,2.1623018310990005e-05,1.2997941782682672e-05,5
PCPFLG,node,55.0,0.9533729853462253,0.9533586514642352,1.4333881990169494e-05,1.891516570163325e-06,5
GENDER,node,12.0,0.9533729853462253,0.9533620035041916,1.0981842033630507e-05,2.575654107007249e-05,5
BARBFLG,node,62.0,0.9533729853462253,0.9533628190654182,1.0166280806922501e-05,5.159050202449504e-06,5
AMPHFLG,node,58.0,0.9533729853462253,0.9533682910091308,4.694337094446332e-06,6.292455985065364e-06,5
INHFLG,node,64.0,0.9533729853462253,0.9533686668523295,4.31849389577188e-06,3.364994336817361e-06,5
COKEFLG,node,50.0,0.9533729853462253,0.9533686705552181,4.314791007153929e-06,3.12148479355239e-05,5
STIMFLG,node,59.0,0.9533729853462253,0.9533705766171542,2.4087290710683717e-06,8.904017431809693e-06,5
MARFLG,node,51.0,0.9533729853462253,0.9533705877258203,2.3976204050146777e-06,1.926755401833294e-05,5
METHFLG,node,53.0,0.9533729853462253,0.9533739388400546,-9.534938293587203e-07,1.5080096454675272e-06,5
OPSYNFLG,node,54.0,0.9533729853462253,0.9533753190918013,-2.3337455761218706e-06,3.499106904785598e-05,5
TRNQFLG,node,61.0,0.9533729853462253,0.9533761068813632,-3.1215351378399704e-06,1.5972305168597248e-06,5
OTCFLG,node,65.0,0.9533729853462253,0.9533762762885193,-3.290942293854293e-06,2.61812165740686e-06,5
OTHERFLG,node,66.0,0.9533729853462253,0.9533844319007855,-1.1446554560357036e-05,1.3672198081144607e-05,5
