run_name,split,los_basis,los_scheme,los_bin,los_bin_label,support,positive_count,negative_count,positive_rate,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
id26_9bin_breakdown,test,true_los_bin,breakdown9,0,1,45147,17188,27959,0.380711896693025,0.9296520256052451,0.8644023717882034,0.9668955084942984,0.9127807985939473,0.9870090203146047,25352,2607,569,16619
id26_9bin_breakdown,test,true_los_bin,breakdown9,1,2-7,51884,25171,26713,0.4851399275306453,0.792961221185722,0.7380630259033163,0.8886019625759803,0.8063667171389429,0.8942170105202015,18775,7938,2804,22367
id26_9bin_breakdown,test,true_los_bin,breakdown9,2,8-14,19202,8025,11177,0.4179252161233205,0.799916675346318,0.727312248668623,0.8338940809968848,0.7769650528271218,0.8886299886532675,8668,2509,1333,6692
id26_9bin_breakdown,test,true_los_bin,breakdown9,3,15-21,13953,5431,8522,0.3892352899018132,0.8161685658998065,0.7364686468646865,0.8217639477076045,0.7767818292576799,0.8937954451595188,6925,1597,968,4463
id26_9bin_breakdown,test,true_los_bin,breakdown9,4,22-28,16248,9558,6690,0.5882570162481536,0.8239167897587395,0.8841344499254331,0.8063402385436284,0.8434473324213406,0.9035343576202688,5680,1010,1851,7707
id26_9bin_breakdown,test,true_los_bin,breakdown9,5,29-31,22969,10846,12123,0.4722016631111498,0.8150550742304845,0.8384283955683217,0.7535496957403651,0.7937263280567155,0.8957541528851676,10548,1575,2673,8173
id26_9bin_breakdown,test,true_los_bin,breakdown9,6,32-33,34942,16155,18787,0.46233758800297636,0.7593154370099021,0.8120718833105004,0.623769730733519,0.7055734490967651,0.8509269754728261,16455,2332,6078,10077
id26_9bin_breakdown,test,true_los_bin,breakdown9,7,34-35,35475,16383,19092,0.4618181818181818,0.7271881606765328,0.8276805786335647,0.5168772508087652,0.6363568046892613,0.8392741985884481,17329,1763,7915,8468
id26_9bin_breakdown,test,true_los_bin,breakdown9,8,36-37,38708,14967,23741,0.3866642554510695,0.7293324377389687,0.7975086138351445,0.4020845860893967,0.5346244392128993,0.8248290574661529,22213,1528,8949,6018
id26_9bin_breakdown,test,pred_los_bin,breakdown9,0,1,60894,33996,26898,0.558281604098926,0.9549545111176799,0.9802095817583971,0.9382574420520061,0.9587748170191022,0.9852619348498406,26254,644,2099,31897
id26_9bin_breakdown,test,pred_los_bin,breakdown9,1,2-7,55746,30173,25573,0.5412585656369964,0.773723675241273,0.7694337885530151,0.8309415702780631,0.799005704452022,0.8575228402796652,18060,7513,5101,25072
id26_9bin_breakdown,test,pred_los_bin,breakdown9,2,8-14,2998,1561,1437,0.5206804536357572,0.7511674449633089,0.7173333333333334,0.8616271620755925,0.7828870779976718,0.8047013650850119,907,530,216,1345
id26_9bin_breakdown,test,pred_los_bin,breakdown9,3,15-21,2132,931,1201,0.4366791744840525,0.7720450281425891,0.7035681610247027,0.8259935553168636,0.7598814229249012,0.8529420971245767,877,324,162,769
