run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,count
id26_coarse6,coarse6,3,15-21,2,8-14,215
id26_coarse6,coarse6,3,15-21,3,15-21,289
id26_coarse6,coarse6,3,15-21,4,22-28,2193
id26_coarse6,coarse6,3,15-21,5,29-37,8173
id26_coarse6,coarse6,4,22-28,0,1,1503
id26_coarse6,coarse6,4,22-28,1,2-7,1033
id26_coarse6,coarse6,4,22-28,2,8-14,172
id26_coarse6,coarse6,4,22-28,3,15-21,243
id26_coarse6,coarse6,4,22-28,4,22-28,4446
id26_coarse6,coarse6,4,22-28,5,29-37,8851
id26_coarse6,coarse6,5,29-37,0,1,10281
id26_coarse6,coarse6,5,29-37,1,2-7,2108
id26_coarse6,coarse6,5,29-37,2,8-14,65
id26_coarse6,coarse6,5,29-37,3,15-21,56
id26_coarse6,coarse6,5,29-37,4,22-28,2002
id26_coarse6,coarse6,5,29-37,5,29-37,117582
