run_name,los_scheme,pred_bin,pred_bin_label,true_bin,true_bin_label,count,share_within_pred_bin,share_within_true_bin
id26_9bin_breakdown,breakdown9,0,1,6,32-33,4521,0.07424376785890235,0.1293858393909908
id26_9bin_breakdown,breakdown9,1,2-7,6,32-33,1136,0.02037814372331647,0.03251101825882892
id26_9bin_breakdown,breakdown9,2,8-14,6,32-33,34,0.01134089392928619,0.000973041039436781
id26_9bin_breakdown,breakdown9,3,15-21,6,32-33,38,0.017823639774859287,0.001087516455841108
id26_9bin_breakdown,breakdown9,4,22-28,6,32-33,450,0.03305906553041434,0.012878484345486807
id26_9bin_breakdown,breakdown9,5,29-31,6,32-33,1712,0.15840118430792005,0.048995478221052026
id26_9bin_breakdown,breakdown9,6,32-33,6,32-33,11182,0.2882999020265044,0.3200160265582966
id26_9bin_breakdown,breakdown9,7,34-35,6,32-33,7473,0.21133452108254858,0.21386869669738423
id26_9bin_breakdown,breakdown9,8,36-37,6,32-33,8396,0.14428348026327095,0.24028389903268274
id26_9bin_breakdown,breakdown9,0,1,7,34-35,3304,0.05425821920057805,0.09313601127554616
id26_9bin_breakdown,breakdown9,1,2-7,7,34-35,743,0.013328310551429698,0.02094432699083862
id26_9bin_breakdown,breakdown9,2,8-14,7,34-35,17,0.005670446964643095,0.0004792107117688513
id26_9bin_breakdown,breakdown9,3,15-21,7,34-35,97,0.04549718574108818,0.002734319943622269
id26_9bin_breakdown,breakdown9,4,22-28,7,34-35,109,0.008007640317367028,0.0030725863284002818
id26_9bin_breakdown,breakdown9,5,29-31,7,34-35,479,0.04431902294596595,0.01350246652572234
id26_9bin_breakdown,breakdown9,6,32-33,7,34-35,7148,0.18429330170680142,0.20149400986610289
id26_9bin_breakdown,breakdown9,7,34-35,7,34-35,11508,0.32544328497497244,0.32439746300211414
id26_9bin_breakdown,breakdown9,8,36-37,7,34-35,12070,0.20742039146947122,0.34023960535588443
id26_9bin_breakdown,breakdown9,0,1,8,36-37,2564,0.042105954609649554,0.06623953704660536
id26_9bin_breakdown,breakdown9,1,2-7,8,36-37,550,0.009866178739281741,0.014208949054459026
id26_9bin_breakdown,breakdown9,2,8-14,8,36-37,9,0.003002001334222815,0.00023251007543660226
id26_9bin_breakdown,breakdown9,3,15-21,8,36-37,117,0.054878048780487805,0.0030226309806758293
id26_9bin_breakdown,breakdown9,4,22-28,8,36-37,54,0.0039670878636497205,0.0013950604526196135
id26_9bin_breakdown,breakdown9,5,29-31,8,36-37,179,0.01656180606957809,0.004624367055905756
id26_9bin_breakdown,breakdown9,6,32-33,8,36-37,3241,0.08356107873975145,0.0837294616100031
id26_9bin_breakdown,breakdown9,7,34-35,8,36-37,7115,0.20121037300981306,0.1838121318590472
id26_9bin_breakdown,breakdown9,8,36-37,8,36-37,24879,0.4275403412898902,0.6427353518652474
id26_coarse6,coarse6,0,1,0,1,32801,0.6191437955377704,0.7265377544465856
id26_coarse6,coarse6,1,2-7,0,1,5348,0.10693861227754449,0.11845748333222585
id26_coarse6,coarse6,2,8-14,0,1,77,0.058823529411764705,0.001705539681484927
id26_coarse6,coarse6,3,15-21,0,1,71,0.05542544886807182,0.0015726404855250626
id26_coarse6,coarse6,4,22-28,0,1,514,0.03793917921464423,0.01138503112056172
id26_coarse6,coarse6,5,29-37,0,1,6336,0.03974856024391162,0.14034155093361686
id26_coarse6,coarse6,0,1,1,2-7,4352,0.08214730642908377,0.08387942332896461
id26_coarse6,coarse6,1,2-7,1,2-7,34796,0.6957808438312337,0.6706499113406831
id26_coarse6,coarse6,2,8-14,1,2-7,316,0.24140565317035906,0.006090509598334746
id26_coarse6,coarse6,3,15-21,1,2-7,272,0.21233411397345825,0.005242463958060288
id26_coarse6,coarse6,4,22-28,1,2-7,2213,0.16334514319456747,0.04265284095289492
id26_coarse6,coarse6,5,29-37,1,2-7,9935,0.06232669602639866,0.19148485082106237
id26_coarse6,coarse6,0,1,2,8-14,2397,0.04524519611914379,0.12483074679720862
id26_coarse6,coarse6,1,2-7,2,8-14,5286,0.10569886022795441,0.275283824601604
id26_coarse6,coarse6,2,8-14,2,8-14,464,0.3544690603514133,0.024164149567753358
id26_coarse6,coarse6,3,15-21,2,8-14,350,0.273224043715847,0.018227267992917403
id26_coarse6,coarse6,4,22-28,2,8-14,2180,0.16090935931502806,0.11352984064159984
id26_coarse6,coarse6,5,29-37,2,8-14,8525,0.053481135744846364,0.4439641703989168
id26_coarse6,coarse6,0,1,3,15-21,1644,0.031031749027898372,0.11782412384433455
