run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,row_pct
id26_9bin_breakdown,breakdown9,7,34-35,8,36-37,0.34023960535588443
id26_9bin_breakdown,breakdown9,8,36-37,0,1,0.06623953704660536
id26_9bin_breakdown,breakdown9,8,36-37,1,2-7,0.014208949054459026
id26_9bin_breakdown,breakdown9,8,36-37,2,8-14,0.00023251007543660226
id26_9bin_breakdown,breakdown9,8,36-37,3,15-21,0.0030226309806758293
id26_9bin_breakdown,breakdown9,8,36-37,4,22-28,0.0013950604526196135
id26_9bin_breakdown,breakdown9,8,36-37,5,29-31,0.004624367055905756
id26_9bin_breakdown,breakdown9,8,36-37,6,32-33,0.0837294616100031
id26_9bin_breakdown,breakdown9,8,36-37,7,34-35,0.1838121318590472
id26_9bin_breakdown,breakdown9,8,36-37,8,36-37,0.6427353518652474
id26_coarse6,coarse6,0,1,0,1,0.7265377544465856
id26_coarse6,coarse6,0,1,1,2-7,0.11845748333222585
id26_coarse6,coarse6,0,1,2,8-14,0.001705539681484927
id26_coarse6,coarse6,0,1,3,15-21,0.0015726404855250626
id26_coarse6,coarse6,0,1,4,22-28,0.01138503112056172
id26_coarse6,coarse6,0,1,5,29-37,0.14034155093361686
id26_coarse6,coarse6,1,2-7,0,1,0.08387942332896461
id26_coarse6,coarse6,1,2-7,1,2-7,0.6706499113406831
id26_coarse6,coarse6,1,2-7,2,8-14,0.006090509598334746
id26_coarse6,coarse6,1,2-7,3,15-21,0.005242463958060288
id26_coarse6,coarse6,1,2-7,4,22-28,0.04265284095289492
id26_coarse6,coarse6,1,2-7,5,29-37,0.19148485082106237
id26_coarse6,coarse6,2,8-14,0,1,0.12483074679720862
id26_coarse6,coarse6,2,8-14,1,2-7,0.275283824601604
id26_coarse6,coarse6,2,8-14,2,8-14,0.024164149567753358
id26_coarse6,coarse6,2,8-14,3,15-21,0.018227267992917403
id26_coarse6,coarse6,2,8-14,4,22-28,0.11352984064159984
id26_coarse6,coarse6,2,8-14,5,29-37,0.4439641703989168
id26_coarse6,coarse6,3,15-21,0,1,0.11782412384433455
id26_coarse6,coarse6,3,15-21,1,2-7,0.10313194295133662
id26_coarse6,coarse6,3,15-21,2,8-14,0.01540887264387587
id26_coarse6,coarse6,3,15-21,3,15-21,0.02071239160037268
id26_coarse6,coarse6,3,15-21,4,22-28,0.15717050096753388
id26_coarse6,coarse6,3,15-21,5,29-37,0.5857521679925464
id26_coarse6,coarse6,4,22-28,0,1,0.09250369276218612
id26_coarse6,coarse6,4,22-28,1,2-7,0.06357705563761694
id26_coarse6,coarse6,4,22-28,2,8-14,0.010585918266863614
id26_coarse6,coarse6,4,22-28,3,15-21,0.014955686853766617
id26_coarse6,coarse6,4,22-28,4,22-28,0.27363367799113736
id26_coarse6,coarse6,4,22-28,5,29-37,0.5447439684884293
id26_coarse6,coarse6,5,29-37,0,1,0.07783093857404576
id26_coarse6,coarse6,5,29-37,1,2-7,0.015958332702469453
id26_coarse6,coarse6,5,29-37,2,8-14,0.0004920738262146654
id26_coarse6,coarse6,5,29-37,3,15-21,0.00042394052720032705
id26_coarse6,coarse6,5,29-37,4,22-28,0.015155873847411691
id26_coarse6,coarse6,5,29-37,5,29-37,0.8901388405226581
